TOPIC,WORD,MEANING,SENTENCE,
39.Aggressive/ argument,Pugnacious,having a desire to fight and argue., There's one Pugnacious member on the committee who won't agree to anything.,
39.Aggressive/ argument,Truculent,ready to argue or fight., Die-hard fans became Truculent and violent after their team's loss.,
40.Agreement /harmony,CHASM,a deep divide or difference.,The chasm between the initial vision and the final product is shocking.,
40.Agreement /harmony,GULF,a large difference.,Gulf between wealthy countries and poor countries.,
40.Agreement /harmony,RIFT,"a difference in opinion,belief or friendly relation.",Efforts to heal the rift between the two countries have failed.,
40.Agreement /harmony,SCHISM,a division or difference.,There is a schism between leading members of the party.,
40.Agreement /harmony,Accord,agreement.,The two sides signed a peace accord last july.,
40.Agreement /harmony,Concord,agreement.,Living in Concord with people of different races and religions.,
40.Agreement /harmony,Conformity,agreement.,The corporate culture demands a certain Conformity of appearance.,
40.Agreement /harmony,Congruous,in agreement or consistent with.,When performing his soicial duties the president must be dressed in clothes that are Congruous with his high position.,
40.Agreement /harmony,Consonance,agreement,At present the living room lacks Consonance because all the furniture is on one side.,
40.Agreement /harmony,Harmonious,in agreement or consistent with.,The living room was decorated in harmonious colors.,
40.Agreement /harmony,X Discord,disagreement,The city has long been known as a city of racial intolerance and discord 41.Argue /fight,
40.Agreement /harmony,Altercation,a noisy argument or fight., There was some sort of Altercation going on around the accident site.,
40.Agreement /harmony,Bicker,to argue about unimportant things.," After prolonged Bickering, they finally managed to find a movie that both of them were interested in seeing.",
40.Agreement /harmony,Brawl,a noisy argument or fight., There was a Brawl in parliament when the pact was debated.,
40.Agreement /harmony,Combat,a fight., Some of these soldiers have never seen a Combat.,
40.Agreement /harmony,Contend,struggle in opposition or fight., The troops had to Contend with the enemy for control of the port.,
40.Agreement /harmony,Fracas,a noisy argument or fight., Police are prepared for any Fracas that might follow the soccer game.,
40.Agreement /harmony,Melee,a confused fight., A verbal disagreement at the football game soon turned into a Melee involving a lot of spectators.,
40.Agreement /harmony,Quibble,complain and argue about small matters., He spent the entire evening quibbling about the historical inaccuracies in the television series on World War II,
40.Agreement /harmony,Row,a quarell., He was engaged in a Row with his classmates.,
40.Agreement /harmony,Squabble,argue noisily about unimportant things.," Frightened by noise of the Squabble, the kid hid under the couch.",
40.Agreement /harmony,Tiff,a quarrel about unimportant things.," Like any couple, they occasionally engage in a Tiff.",
40.Agreement /harmony,Tussle,a short fight., The suspect was arrested after a Tussle with a security guard.,
40.Agreement /harmony,X Truce,an agreement between enemies to stop fighting for a period of time., A truce was reached between the 2 warring countries.,
42.Biased / Calm,Aplomb,done confidently and calmly., He showed great Aplomb in dealing with the reporters.,
42.Biased / Calm,Composure,calm and in control of your feelings," After the initial shock, she regained her Composure.",
42.Biased / Calm,Equanimity,a calm state of mind., He is an Olympic diver who always displays remarkable Equanimity on the platform.,
42.Biased / Calm,Impassive,calm and unemotional., She remained Impassive as the officers informed her of her son's death.,
42.Biased / Calm,Imperturbable,calm and undisturbed.," Although he seems outwardly Imperturbable, he can get very angry at times.",
42.Biased / Calm,Nonchalant,unconcerned and unemotional., She faced the crowd with the Nonchalant ease of an experienced speaker.,
42.Biased / Calm,Phlegmatic,not easily made angry or upset., He was almost Phlegmatic in conversation.,
42.Biased / Calm,Placid,calm and peaceful., He is a person with a Placid manner.,
42.Biased / Calm,Serene,calm and peaceful.," She is a Serene woman, who is everyone's source of support.",
42.Biased / Calm,Staid,"calm, dignified and unadventurous.", Everyone was surprised by the joke from the usually Staid professor.,
42.Biased / Calm,Stolid,unemotional., She remained Stolid during the trial.,
42.Biased / Calm,Tranquil,calm and peaceful., The house was once again Tranquil after the kids movedoutside to play.,
43.Distributed / agitated,X Agitate,make anxious or disturbed.," If I talk about the problem with him, it just agitates him even more.",
43.Distributed / agitated,X Consternation,anxiety and distress.," Much to her parents' consternation, she decided to not go to college.",
43.Distributed / agitated,X Disconcert,disturb., News of his criminal past has disconcerted even his admirers.,
43.Distributed / agitated,X Dismay,sad and disappointed., The difficult climb up the mountain dismayed us even before we got started.,
43.Distributed / agitated,X Distraught,very worried or nervous., Distraught relatives are waiting for news of the missing children.,
43.Distributed / agitated,X Faze,"unsettle, disturb or upset.", You'll never succeed as a writer if you let a little bit of criticism faze you.,
43.Distributed / agitated,X Fluster,disturb or confuse someone., Some speakers fluster the audience more easily than others.,
43.Distributed / agitated,X Foment,stir up a violent or undesirable act., He was accused of fomenting violence.,
43.Distributed / agitated,X Frenetic,wildly excited., The celebration was noisy and frenetic.,
43.Distributed / agitated,X Hysterical,wildly excited., Quite a few people got hysterical by the sensational news story.,
43.Distributed / agitated,X Implacable,cannot be calmed down., He has an implacable hatred for his political opponents.,
43.Distributed / agitated,X Overwrought,very worried and upset., The witness became overwrought as she described the crime.,
43.Distributed / agitated,X Perturb,disturb or make someone upset., It perturbed him that his son was thinking about leaving school.,
44.Dominating,Absolute,having unlimited power or control., The country is ruled by an Absolute dictator.,
44.Dominating,Authoritative,exercising authority., She said this with an Authoritative air.,
44.Dominating,Autocrat,a dictatorial person., European Autocrats once commonly believed that they had received the right to rule directly from God.,
44.Dominating,Despot,"a cruel person, especially a ruler.", The cruel dictator killed thousands of people on the spot.,
44.Dominating,Dogmatic,forcefully or arrogantly laying one's opinions on others., She's become so Dogmatic lately that arguing with her is pointless.,
44.Dominating,Hegemony,dominance of one group over another., They discussed the national government's Hegemony over their tribal community.,
44.Dominating,Imperious,domineering or dominating., She is an Imperious movie star who thinks she's some sort of goddess.,
44.Dominating,Martinet,a very strict person who demands that other people obey orders completely., The prison's warden was a cruel Martinet.,
44.Dominating,Totalitarian,a dictatorial person or government., We were asked to oppose Totalitarian ruler and embrace Democracy.,
44.Dominating,Tyrant,"a dictatorial person, especially a ruler.", The country was ruled by a succession of Tyrants.,
45.Equality,Absolute,having unlimited power or control., The country is ruled by an Absolute dictator.,
45.Equality,Authoritative,exercising authority., She said this with an Authoritative air.,
45.Equality,Autocrat,a dictatorial person., European Autocrats once commonly believed that they had received the right to rule directly from God.,
45.Equality,Despot,"a cruel person, especially a ruler.", The cruel dictator killed thousands of people on the spot.,
45.Equality,Dogmatic,forcefully or arrogantly laying one's opinions on others., She's become so Dogmatic lately that arguing with her is pointless.,
45.Equality,Hegemony,dominance of one group over another., They discussed the national government's Hegemony over their tribal community.,
45.Equality,Imperious,domineering or dominating., She is an Imperious movie star who thinks she's some sort of goddess.,
45.Equality,Martinet,a very strict person who demands that other people obey orders completely., The prison's warden was a cruel Martinet.,
45.Equality,Totalitarian,a dictatorial person or government., We were asked to oppose Totalitarian ruler and embrace Democracy.,
45.Equality,Tyrant,"a dictatorial person, especially a ruler.", The country was ruled by a succession of Tyrants.,
46.Excessive Flattery,Adulation,"praise, esp when greater than is necessary.", The band enjoys the Adulation of their fans wherever it goes.,
46.Excessive Flattery,Blandishment,something that tends to flatter or entice., He refused to be moved by either threats or Blandishments.,
46.Excessive Flattery,Fawn,excessively willing to obey., The sports star was surrounded by Fawning fans.,
46.Excessive Flattery,Fulsome,too generous in praising or thanking somebody., He was Fulsome in his praise of the Prime Minister.,
46.Excessive Flattery,Obsequious,exessively willing to obey., She's constantly followed by Obsequious assistants who will do anything she tells them to.,
46.Excessive Flattery,Sycophant,a flaterrer.," When her career was riding high, the actress often mistook Sycophants for true friends.",
46.Excessive Flattery,Toady ,a flatterer., She's a real Toady to the boss.,
46.Excessive Flattery,Unctuous,exessively willing to obey., An Unctuous appraisal of the talent shown by the boss's daughter.,
47.Including Everything,COMPREHENSIVE,covering everything., A COMPREHENSIVE overview of European history since the French Revolution.,
47.Including Everything,Encompass,including or covering a wide range., The district Encompasses most of the downtown area.,
47.Including Everything,Pervasive,present everywhere or widespread., Television has a Pervasive influence on our culture.,
48.Indifferent,Apathy,uninterested or indifferent in something., People have shown surprising Apathy toward these important social problems.,
48.Indifferent,Stoic,enduring pain and difficulty without complaining., We are surprised at his Stoic acceptance of death.,
49.Insulting Word,Deprecatory,to feel and express disapproval of something or someone., He made a Deprecatory comment.,
49.Insulting Word,Derogatory,insulting or disapproving., Fans made a lot of Derogatory remarks about the players of the visiting team.,
49.Insulting Word,Pejorative,expressing disrespect or disapproval., The word PEDANT is a Pejorative term.,
50.Make Isolation,ALIENATE,to make unfriendly., He ALIENATEd most of his colleagues with his bad temper.,
50.Make Isolation,ANTAGONIZE,to make unfriendly or hostile., Her comments ANTAGONIZEd many people.,
50.Make Isolation,Estrange,isolate or make unfriendly., She Estranged several of her coworkers when she let her promotion go to her head.,
51.Narrow minded / regional,Insular,narrow minded., The British are often accused of being Insular.,
51.Narrow minded / regional,Myopic,narrow minded., Myopic politics always falls short in explanation.,
51.Narrow minded / regional,Parochial,narrow minded., They need to be better informed and less Parochial in their thinking.,
51.Narrow minded / regional,Provincial,narrow minded.," In spite of his education and travels, he has remained very Provincial.",
52.Not serious,Flippant,not serious., He gave a Flippant response to a serious question.,
52.Not serious,Frivolous,not serious., She thinks window shopping is a Frivolous activity.,
52.Not serious,Insouciant,"free from concern, worry, or anxiety."," Although she was late, she walked into the office in an Insouciant manner.",
52.Not serious,Levity,treat something serious in a humorous or non serious way., The teachers disapprove of any display of Levity during school assemblies.,
52.Not serious,X Grave,serious., Crime in the city is a matter of grave concern 53.Overly Obedient,
52.Not serious,Grovel,act in an excessively obedient way., He had to Grovel to get her to accept his apology.,
52.Not serious,Servile,eagerly wanting to please or obey., He had always maintained a Servile attitude around people with money.,
52.Not serious,Slavish,act like a slave., He has been criticized for his Slavish devotion to the rules.,
52.Not serious,Subservient,eagerly wanting to obey or please., Some people feel that Subservient conduct will help them get promotions.,
52.Not serious,Supplicant,a person who asks for something in a humble manner., The new governor soon had to deal with Supplicants asking for jobs and other political favors.,
54.Pampering,Coddle,"treat very nicely, carefully and overprotectively.", The judges were accused of coddling criminals.,
54.Pampering,Humor,please someone by agreeing to their wishes., She Humored her grandfather by listening to his war stories for the hundredth time.,
54.Pampering,Indulge,agree to the wishes or desires of someone., Parents sometimes have to Indulge their children.,
54.Pampering,Mollycoddle,"treat very nicely, carefully and overprotectively.", The coach has been mollycoddling the team's star players.,
54.Pampering,Pamper,treat with excessive indulgence., They really Pamper their guests at that hotel.,
55.Suppress / End,Quash,suppress or end something., The rumours were quickly Quashed.,
55.Suppress / End,Quell,suppress or end something., Extra police were called in to Quell the disturbances.,
55.Suppress / End,Repress,to suppress., They tried to Repress their anger but could not do so.,
55.Suppress / End,Scotch,end something., Rumours that he had fled the country were promptly Scotched by his wife.,
55.Suppress / End,Subdue,"to suppress ( feelings, etc ).", Julia had to Subdue an urge to touch her hair constantly.,
55.Suppress / End,Suppress,restrict or end something., The governor tried to Suppress the news.,
56.Surprise/ confuse,Astound,surprise or shock., The magician will Astound you with his latest tricks.,
56.Surprise/ confuse,Baffle,to confuse., I was Baffled by many of the scientific terms used in the article.,
56.Surprise/ confuse,Bamboozle,to confuse someone especially by tricking them, They were Bamboozled by the property dealers into buying worthless land.,
56.Surprise/ confuse,Befuddle,to confuse., Most of the applicants were Befuddled by the wording of one of the questions on the driving test.,
56.Surprise/ confuse,Bemuse,to confuse., The stage mishap momentarily Bemused the actress.,
56.Surprise/ confuse,Bewilder,to confuse., The change in policy seems to have Bewildered many of our customers.,
56.Surprise/ confuse,Boggle,surprise greatly., It should Boggle the mind of every member of this committee that individuals are treated this way.,
56.Surprise/ confuse,Confound,to confuse and surprise greatly., The complicated directions Confounded him.,
56.Surprise/ confuse,Flabbergasted,extremely surprised and shocked., It flabbergasts me to see how many people still support them.,
56.Surprise/ confuse,Fox,to confuse., I must admit I'm completely Foxed.,
56.Surprise/ confuse,Non plussed,to confuse completely., I was nonplussed by his openly expressed admiration of me.,
56.Surprise/ confuse,Obfuscate,to confuse., Their explanations only serve to Obfuscate the whole method.,
56.Surprise/ confuse,Perplex,to confuse., Questions about the meaning of life have always Perplexed humankind.,
56.Surprise/ confuse,Stupefy,to surprise or shock someone greatly., He was stupefied by the amount they had spent.,
57.Calm down,Allay,"remove fear,suspicion or worry.", The new advertising campaign is an attempt to Allay the public's concerns about their safety.,
57.Calm down,Alleviate,"reduce pain,problem or worry.",Finding ways to Allviate stress is of primary importance these days.,
57.Calm down,Ameliorate,to make something better.,This medicine should help Amelioirate the pain.,
57.Calm down,Appease,make someone happy by agreeing to their demands., they Appeased the dictator by accepting demands in an effort to avoid war.,
57.Calm down,Assuage,make an unpleasant feeling less intense., An attempt to Assuage child's fear of the dark.,
57.Calm down,Conciliate,to make somebody less angry or hostile., The company's attempts to Conciliate the workers have failed.,
57.Calm down,Extenuating,making a crime appear less serious., There were Extenuating circumstances and the defendant did not receive a prison sentence.,
57.Calm down,Mitigate,make something less serious or painful., Emergency funds are being provided to help Mitigate the effects of the disaster.,
57.Calm down,Mollify,reduce someone's anger or worry., He tried to Mollify his critics with an apology.,
57.Calm down,Pacify,reduce someone's anger or worry., She resigned from her position to Pacify her accusers.,
57.Calm down,Placate,make someone less angry., The angry customer was not Placated by the clerk's apology.,
57.Calm down,Propitiate,calm someone down or make someone happy., He made an offering to Propitiate the angry gods.,
57.Calm down,Solace,help and comfort in times of distress., Any Solace from a price reduction might only be short-term.,
57.Calm down,Temper,to moderate or mitigate.,The judge Tempered his justice with mercy.,
57.Calm down,X Exacerbate,to make something worse., The proposed factory shutdown would only exacerbate our unemployment problems.,
58.Crucial / Significant / Important,CARDINAL,important., My CARDINAL rule is to always be honest.,
58.Crucial / Significant / Important,CORE,central or important part., Concern for the environment is at the CORE of our policies.,
58.Crucial / Significant / Important,FOREMOST,first in place or rank., The governor was FOREMOST among those who condemned the violence.,
58.Crucial / Significant / Important,IMPERATIE,important., It is absolutely IMPERATIE that we finish by next week.,
58.Crucial / Significant / Important,INDISPENSIBLE,absolutely important.,An indispensable member of the staff.,
58.Crucial / Significant / Important,MANDATORY,absolutely necessary,This offense carries a MANDATORY life sentence.,
58.Crucial / Significant / Important,MOMENTOUS,very important.,My college graduation was a MOMENTOUS day in my life.,
58.Crucial / Significant / Important,PARAMOUNT,very important,maintaining the secrecy of the agreement is PARAMOUNT.,
58.Crucial / Significant / Important,PIVOTAL,very important.,She is at a PIVOTAL point in her career.,
58.Crucial / Significant / Important,SALIENT,most important., She pointed out the SALIENT features of the new design.,
59.Difficult to understand,Abstract,difficult to understand.,Most students find this text Abstract.,
59.Difficult to understand,Abstruse,difficult to understand.,You're not the only one who finds Einsteins theory Abstruse.,
59.Difficult to understand,arcane,difficult to understand.,Grammatical rules seem arcane to students who were never taught grammar.,
59.Difficult to understand,Esoteric,meant for or understood only by few people.,Metaphysics is such an Esoteric subect.,
59.Difficult to understand,Mystical,difficult to understand.,Most scholars are puzzled by these Mystical theories.,
59.Difficult to understand,Obscure,unclear or difficult to understand., We went to see one of Shakespeares more Obscure plays.,
59.Difficult to understand,Occult ,mysterious., It is an Occult phenomenon.,
59.Difficult to understand,Profound,requiring or showing deep thought or understanding., It is difficult to understand these Profound questions about life and death.,
59.Difficult to understand,Recondite ,little known., This is a a Recondite subject.,
59.Difficult to understand,X Perspicuous,easy to understand., The language they have used for this purpose is simple and perspicuous .,
60.Express sympathy,Commiserate,show sympathy., The players Commiserated over their loss in the championship game.,
60.Express sympathy,Condolence,sympathy towards someone who has suffered a loss., The governor issued a statement of Condolence to the victims' families.,
60.Express sympathy,Empathy,ability to understand another persons feelings., He felt great Empathy with the poor.,
61.Happy /joy,Beam,to smile radiantly., She was Beaming with pleasure.,
61.Happy /joy,Beatific,very happy., He has got a Beatific expression on his face.,
61.Happy /joy,Blithe,cheerful., Everyone loved her for her Blithe spirit.,
61.Happy /joy,Ecstasy,extreme happiness., His performance sent the audience into Ecstasy.,
61.Happy /joy,Elated,very happy., The discovery has Elated researchers.,
61.Happy /joy,Euphoria,extreme happiness., The initial Euphoria following their victory in the election has now subsided.,
61.Happy /joy,Exhilaration,extreme happiness or excitement., The atmosphere in the camp was one of excitement and Exhilaration.,
61.Happy /joy,Exultant,very happy ., Researchers are Exultant about the new discovery.,
61.Happy /joy,Facetious,amusing or humorous ., A Facetious remark.,
61.Happy /joy,Felicity,great happiness., He told his friends that marriage had brought him a Felicity that he had never known before.,
61.Happy /joy,Gaiety,cheerfulness ., The colorful flags added to the Gaiety of the occasion.,
61.Happy /joy,Jest,joke., You should know that our teasing was done entirely in Jest.,
61.Happy /joy,Jocular,humorous.," He is a Jocular man, who could make the most serious people smile.",
61.Happy /joy,Jocund,happy and cheerful., Old friends engaged in Jocund teasing.,
61.Happy /joy,Jollity,happiness., I love all the warmhearted Jollity of the holiday season. Jovial = cheerful and friendly.,
61.Happy /joy,"Example: He was in a Jovial mood., Jubilant=very happy.""", The fans were in a Jubilant mood after the victory.,,
61.Happy /joy,Rapturous,showing great happiness.," As the orchestra started playing, the audience became Rapturous.",
61.Happy /joy,Regale,entertain someone with a story.," During winters, he used to come home and Regale us with his adventures.",
61.Happy /joy,Sanguine,cheerfully optismistic., They are less Sanguine about the company's long- term prospects.,
61.Happy /joy,Uproarious,very funny., An Uproarious movie.,
61.Happy /joy,Waggish, humorous., He has a Waggish nature.,
62.Hardworking,Assiduous,hardworking., They were Assiduous in their search for all the latest facts and figures.,
62.Hardworking,Diligent,hardworking, A Diligent student. Industrious hardworking.,
62.Hardworking,"Example: An Industrious worker., Painstaking=done with great care and effort.""", The event had been planned with Painstaking attention to detail.,,
62.Hardworking,Sedulous,hardworking, He was Sedulous in completing the tasks given to him.,
62.Hardworking,Toil,to work very hard., Hundreds of men Toiled for years at building the pyramid.,
63.Irregular /At Intervals,Fitfully,happening irregularly., Several fitful attempts at negotiation have failed.,
63.Irregular /At Intervals,Intermittent,happening irregularly., The patient was having Intermittent pains in his chest.,
63.Irregular /At Intervals,Occassional,happening or done sometimes but not often.," He spent five years in Paris, with occasional visits to Italy.",
63.Irregular /At Intervals,Spasmodic,happening irregularly., He made only Spasmodic attempts to lose weight.,
63.Irregular /At Intervals,Sporadic,happening irregularly., Fighting continued Sporadically for two months.,
64.Lacking energy / lazy,Indolent,lazy., The Indolent boy was forced to help out with the chores.,
64.Lacking energy / lazy,Lackadaisical,lacking energy or enthusiasm, His teachers did not approve of his Lackadaisical approach to homework.,
64.Lacking energy / lazy,Lackluster,lacking energy or enthusiasm., This was a a Lackluster performance.,
64.Lacking energy / lazy,Languid,slow or lazy., They proceeded at a Languid pace.,
64.Lacking energy / lazy,Lassitude,lacking energy or enthusiasm., Symptoms of the disease include paleness and Lassitude.,
64.Lacking energy / lazy,Lethargic,lazy or lacking energy., A big meal always makes me Lethargic and sleepy.,
64.Lacking energy / lazy,Listless,lacking energy or enthusiasm., The heat made everyone tired and Listless.,
64.Lacking energy / lazy,Sloth,laziness., The youth is inclined more toward Sloth than athletics.,
64.Lacking energy / lazy,Sluggish,moving slowly., The game picked up after a Sluggish start.,
64.Lacking energy / lazy,Torpor/Torpid,"slow, inactive or lacking energy."," Animals were found to be quite torpid, but capable of swimming.",
65.Never ending / non stop,Chronic,long lasting and recurring., Inflation has become a Chronic condition in the economy.,
65.Never ending / non stop,Incessant,never ending., The Incessant noise from outside was a real distraction during the test.,
65.Never ending / non stop,Ineorable,can not be stopped., There has been an Ineorable rise of crime in Delhi.,
65.Never ending / non stop,Interminable,never ending, An Interminable desert.,
65.Never ending / non stop,Perennial,never ending., Flooding is a Perennial problem for people living by the river.,
65.Never ending / non stop,Relentless,"never ending, constant.", Her Relentless optimism held the team together.,
66.Ordinary,Banal,boring or unexciting.," The acting was Banal, but the story was good.",
66.Ordinary,Bromide,an unoriginal idea., His speech had nothing more to offer than the usual Bromides about how everyone needs to work together.,
66.Ordinary,Clich,an overused and therefore uninteresting word or phrase., This is an old Clich that a trouble shared is a trouble halved.,
66.Ordinary,Derivative,derived from something unoriginal.," The concept ambitious, but Derivative so it disappeared without a trace.",
66.Ordinary,Hackneyed,overused and therefore uninteresting., The concept of an evil corporation is pretty Hackneyed at this point.,
66.Ordinary,Humdrum,boring or unexciting.," She liked the movie, but I thought it was Humdrum.",
66.Ordinary,Mundane,boring or unexciting., The executive was sick and tired of hearing Mundane answers.,
66.Ordinary,Pedestrian,boring or unexciting., He lived a Pedestrian life.,
66.Ordinary,Platitude,an overused and therefore uninteresting word or phrase., His speech was filled with familiar Platitudes about the value of hard work and dedication.,
66.Ordinary,Plebeian,"very common, ordinary or unrefined.", He wondered what the people at the club would think of his Plebeian origins.,
66.Ordinary,uotidian,occurring everyday and therefore ordinary., They used to have uotidian quarrels that every couple usually has.,
66.Ordinary,Trite,overused and therefore uninteresting., Trite phrases in his letter did not amuse his girlfriend.,
67.Sad/depressed,Anguish,mental and physical pain or suffering, They watched in Anguish as fire spread through the house.,
67.Sad/depressed,Bereaved,sad because of having lost a relative or close one because of death., The grief of his Bereaved parents seemed infinite.,
67.Sad/depressed,Bereft,deprived of something or someone., He was completely Bereft when his wife died.,
67.Sad/depressed,Bleak,depressing or without hope.," His condition had stabilized somewhat, and his future no longer looked completely Bleak.",
67.Sad/depressed,Crestfallen,sad and disappointed., She was Crestfallen when she found out she hadn't got the job.,
67.Sad/depressed,Dejected,sad and depressed., She looked so Dejected when she lost the game.,
67.Sad/depressed,Desolate,sad and lonely," This is a Desolate house, abandoned many years ago.",
67.Sad/depressed,Despondent,sad and depressed., I had never seen them looking so Despondent.,
67.Sad/depressed,Forlorn,sad and lonely sad and lonely.," She looked so Forlorn, standing there in the rain.",
67.Sad/depressed,Lachrymose,sad and tearful., The Lachrymose mourners at the funeral required a steady supply of tissues.,
67.Sad/depressed,Lament,express sadness for something., She Lamented over the loss of her best friend.,
67.Sad/depressed,Lugubrious,sad and disappointed, The dim lighting in the disappointed lighting in the restaurant makes eating there a particularly Lugubrious experience.,
67.Sad/depressed,Melancholy,sadness or depression., There is a deep Melancholy in his black and white photography.,
67.Sad/depressed,Plaintive,sad and mournful., We could hear the Plaintive cries of wounded people.,
67.Sad/depressed,Woe,great sorrow., The earthquake and tsunami brought Woe and suffering.,
68.Short lived,Ephemeral,lasting for a short time., Capturing those Ephemeral images has been a challenge to generations of artists.,
68.Short lived,Evanescent,lasting for a short time., An Evanescent bubble.,
68.Short lived,Fleeting,lasting for a short time.," I had a Fleeting desire to jump into the cool lake, but I kept on hiking.",
68.Short lived,Transient,temporary., These are short term Transient benefits at the expense of long term growth.,
68.Short lived,Transitory,temporary., A Transitory panic struck me when I realized that we had left the baby in the car.,
69.Sulking / bad tempered,Dudgeon,a feeling of offense or deep resentment, the manager walked out in deep dudgeon Dour=bad tempered or gloomy,
69.Sulking / bad tempered,"Example: The city, drab and Dour by day, is transformed at night., Morose=bad tempered"," bilious""", She was increasingly reclusive and Morose.,
69.Sulking / bad tempered,Peevish,irritable., I would rather figure things out on my own than ask that Peevish librarian for help.,
69.Sulking / bad tempered,Petulant,childishly silly or bad tempered. Pettish," He is a Petulant man, who is always blaming everyone else for his problems.",
69.Sulking / bad tempered,Irascible,having a tendency to be easily angered, an irascible and difficult man Umbrage=Offence or annoyance,
69.Sulking / bad tempered,"Example: she took umbrage at his remarks, Pout=be irritable or bad tempered."""," He has been accused of selfishness, but he does not Pout now.",,
69.Sulking / bad tempered,Saturnine,"serious, threatening or gloomy.", The men awaiting interrogation by the police shared a Saturnine silence.,
69.Sulking / bad tempered,Sullen,bad tempered., Bob looked pale and Sullen.,
70.To make unnecessary,Gratuitous,done without any good reason ; uncalled for., The film was criticized for its Gratuitous violence.,
70.To make unnecessary,OBVIATE,make (an action) unnecessary., The new medical treatment OBVIATEs the need for surgery.,
70.To make unnecessary,X NECESSITATE,to make necessary., New safety regulations necessitated adding a railing to the stairs.,
70.To make unnecessary,X Warrant,to make necessary or justify., The deepening gloom about the economy may well warrant such an aggressive response.,
71.Unimportant,EXPENDABLE,not necessary ; can be done without., Travel is sometimes considered an EXPENDABLE luxury when finances get tight.,
71.Unimportant,FRINGE,not main part of something., FRINGE players do not get as much attention as main players do.,
71.Unimportant,INCIDENTAL,of minor importance or consequence., You may incur some INCIDENTAL expenses on the trip.,
71.Unimportant,INCONSEQUENTIAL,not important., That is an INCONSEQUENTIAL problem compared to the other issues.,
71.Unimportant,NUGATORY,having no value., Rise in consumer spending this year is likely to be NUGATORY .,
71.Unimportant,PERIPHERAL,not main or important.," If we focus too much on PERIPHERAL issues, we will lose sight of the goal.",
71.Unimportant,PICAYUNE,of little importance., A PICAYUNE amount.,
72.Excess excessive patriotis,Chauvinism,extreme patriotism., Soldiers made chauvinistic comments about the war.,
72.Excess excessive patriotis,Fanatic,someone who shows extreme enthusiasm for something especially religion or politics., Fanatics are calling out for a war with Paistan.,
72.Excess excessive patriotis,Jingoism,extreme patriotism., Unnecessary bellicosity and Jingoism is detrimental to peace and prosperity between the 2 countries.,
72.Excess excessive patriotis,Zealot,a fanatic., The military general behaved lile a zealot when it came to discussing dispute between the 2 countries.,
73.Dry extremely wet,Arid,completely dry., Nothing grows in these Arid regions.,
73.Dry extremely wet,Desiccated,completely dried., These lands are Desiccated by the dry winds and direct sunlight.,
73.Dry extremely wet,Parch,mae or become dry., A drought is Parching much of the land in this country.,
73.Dry extremely wet,Sear,make or become dry., Inadeuate precipitation has Seared the whole region.,
73.Dry extremely wet,X Deluge,a flood of water., Spring rains can trigger a deluge of water.,
73.Dry extremely wet,X Drench,become wet., We were caught in the rain and got drenched.,
73.Dry extremely wet,X Inundate,to flood with water., By the middle of this month seasonal monsoons are expected to further inundate the region.,
73.Dry extremely wet,X Seep,to leak slowly., Water was beginning to seep through the cracks.,
73.Dry extremely wet,X Sodden,soaked in water or any liquid., Because it was raining heavily we arrived home completely sodden.,
73.Dry extremely wet,X Steeped,to soap in water or any liuqid, Steep the fruit in brandy overnight.,
74.Increase,Accretion,a gradual increase,Learning the Accretion of new data in memory depends on short-term memory.,
74.Increase,Aggrandize,"increase in rank,value,status, etc.,",Her sole aim is to Aggrandize herself.,
74.Increase,Augment,increase.,The recent speech of the president Augmented tensions in the Middle East ilate become eyes ilated it ear,
74.Increase,Enhance,increase.,This is an opportunity to Enhance the reputation of the company Proliferate=grow or increase rapidly.,
74.Increase,"Example:Books and articles on this subect have Proliferated over the last year., Wax=grow or increase.""",The suns energy output varies sligtly as sunspots Wax on the star's surface.,,
75.Lessen in intensity,Abate,become less intense.,They waited for the crowd's anger to Abate.,
75.Lessen in intensity,Ebb,become less intense.,We will talk to him when his anger Ebbs.,
75.Lessen in intensity,Recede,move back or become faint or distant.,The sound of te truck Receded into the distance.,
75.Lessen in intensity,Subside,become less intense.,She waited nervously for his anger to Subside.,
76.Lucky / Unlucky,Fortuitous,favorable or happening at a good time., His success depended on a Fortuitous combination of circumstances.,
76.Lucky / Unlucky,Opportune,favorable or happening at a good time., The offer could not have come at a more Opportune moment.,
76.Lucky / Unlucky,Propitious,favorable or happening at a good time., It was not a Propitious time to start a new business.,
76.Lucky / Unlucky,Serendipity,fortunate occurence of events by chance.," Meeting her like that, and there of all places, was truly a Serendipity! X Despair=complete lack of hope.",
76.Lucky / Unlucky,"Example: A deep sense of despair overwhelmed him., X Hapless=unlucky.""", Neither of the hapless officers obtained any evidence of the crime.,,
76.Lucky / Unlucky,X Wretched,unlucky or pitiable., The wretched man did not have a single friend.,
77.Pain /suffering,Adversity,difficulty or misfortune.,He overcame many personal adversities.,
77.Pain /suffering,Afflictions,pain or suffering.,They sympathized with us in our affliction.,
77.Pain /suffering,Mishap,an unfortunate accident., managed to get home without any Mishap.,
77.Pain /suffering,Ordeals,difficult or painful experience.,His final ordeal might have inspired great self-pity though he displayed no hint of it.,
77.Pain /suffering,Trials,a difficult experience trouble or grief.,This film is as much about celebration as it is about Trials.,
77.Pain /suffering,Tribulation,trouble pain or suffering.,Life is full of Tribulations.,
78.Reduce,Constrict,restrict., Film- makers of that time were Constricted by the censors.,
78.Reduce,Contract,become shrunk., The universe is expanding rather than Contracting.,
